	A	Coef	t	P.value	F	F.p.value	Results	genes
g13096	-0.125294848911634	-1.9696216550595	-4.59725578486032	4.78470056386235e-05	87.2084051683663	8.01249653798492e-10	-1	g13096
g13098	-0.188113492361301	-1.3185079477689	-1.50523521641964	0.0721107688768531	38.8269876318354	1.3133402481243e-06	0	g13098
g13099	4.56835315820289	0.300066667457712	0	0.999999999993243	23.5710618699697	4.83262963051833e-05	0	g13099
g131	-1.9083899046368	4.28252247213276	3.01646814593117	0.00283679177720988	15.4875018846517	0.000547004761832045	1	g131
g13100	2.19888883876641	-1.56621358085518	-4.43772596938225	7.29905289280981e-05	150.682344570593	2.25915333142983e-12	-1	g13100
g13105	-1.78199459025474	-2.59443263330266	-4.0405010751525	0.000207800731215145	43.2257861953211	5.4673610042909e-07	-1	g13105
g13108	5.31376208084354	-2.57718439409643	-7.73798686578351	1.55506941223366e-08	159.875538322643	1.15850308296128e-12	-1	g13108
g13109	4.13913100387626	-0.0542946839579042	0	0.99501111901742	0.0199213068836653	0.888836379811828	0	g13109
g1311	7.20753731640622	-0.237259446138207	0	0.999999999999999	27.8449993952281	1.58263589487428e-05	0	g1311
g13110	5.74195397873654	0.160762781256456	0	0.999999999999993	8.63317798419023	0.00680118454805197	0	g13110
g13111	4.63486447187704	-0.131949048290528	0	0.999999999999996	5.63745891329554	0.0251835107590673	0	g13111
g13112	6.53512845304148	-0.0754428054286622	0	1	5.66794484587007	0.024828016149009	0	g13112
g13114	1.56111424855431	0.111438310537892	0	0.999970614763898	0.357060929236532	0.55527142122318	0	g13114
g13118	-0.548382261558832	-0.985546682428087	0	0.529436256630571	25.8513360693902	2.63181675818318e-05	0	g13118
g13119	-0.852980136669347	-2.05047056200486	-2.38106372452964	0.01240533721686	21.6013722808304	8.37150238922496e-05	0	g13119
g1312	4.14805177364133	-0.328951648836761	0	0.999978677729637	5.77480039011348	0.0236250772653985	0	g1312
g13121	2.41955789006431	-1.07529079160992	-0.641815933512109	0.263283474706809	84.0212456322764	1.16872357149371e-09	0	g13121
g13122	5.30116142995193	-0.178700646810347	0	0.996308927321585	0.394499658393488	0.535379012152607	0	g13122
g13123	2.82924946101562	-0.956884911332346	0	0.549392977929801	7.73686564043784	0.00989328554127684	0	g13123
g13124	1.82193068988103	-1.17328253477135	-0.562541696533078	0.289263876428688	14.5079170794461	0.000760190691277227	0	g13124
g13125	0.294408605857297	-0.636134463539291	0	0.859259556004792	3.69538141576045	0.0654963918293124	0	g13125
g13126	0.661973527907708	-1.04753316668833	-0.105263779314505	0.45854053330955	5.38145837487355	0.0284010313252717	0	g13126
g13127	-1.04155685145029	-0.435793704150968	0	0.941883221290614	1.57149953468235	0.22105727466777	0	g13127
g13128	6.64609210243042	0.055641284401811	0	0.99928899185818	0.0399141428429063	0.843190613085882	0	g13128
